Original_query,Entities in query,Expanded query
what are there adverse effects on lipids when progesterone is given with estrogen replacement therapy,"adverse effects, lipids,progesterone,estrogen replacement therapy","estrogen replacement therapy lipids progesterone adverse effects oestrogen replacement therapy estrogen progestin replacement therapy hrt progestogen hormone therapy doxorubicin/progesterone prevention irradiation hormone replacement therapy prophylactic treatment therapeutic radiology procedure membrane lipid lipid iv blood lipid viral envelope lipids membrane lipids oestrogen, nos ethisterone medroxyprogesterone acetate uracil-progesterone estrogens progestins estrogen [epc] progesterone [epc] releasing increased not release - action (qualifier value negation aspects of adverse effects adverse effect nos adverse reaction to drug adverse reaction to antibiotic nos adverse effect of physical agent drug adverse effects adverse effects of medical drugs late effect of medical intervention adverse effect of cocaine treatment adverse effects adverse reactions reaction to antibiotics"
pathophysiology and treatment of disseminated intravascular coagulation,"pathophysiology,treatment, disseminated,intravascular coagulation
","pathophysiology intravascular coagulation treatment disseminated physiopathological cause complicated manifestation profile therapeutic treating not acute miliary systemic etiology aspects intravascular route of drug administration profiling (action therapeutic aspects negation functional disorder hemorrhage antepartum hemorrhage with disseminated intravascular coagulation abruption, placental scar nos abruptio placentae cicatrix disseminating blood coagulation abortion transfusion of factor vii transfusion of factor ix therapeutic procedure administration procedure treatment planning for brachytherapy hydrotherapy with whirlpool bath dietary treatment for disorder aodd treatment cancer treatment comprehensive orthodontic treatment treatment modification warfarin treatment plan limited orthodontic treatment coagulation procedure induced abortion (procedure cancer therapeutic procedure physiological aspects coagulation process risk biomaterial treatment subject risk science of etiology treatment study treatment epoch treatment - actinformationmanagementreason treatment hypertension on treatment for hypertension "
"anticardiolipin and lupus anticoagulants, pathophysiology, epidemiology, complications","anticardiolipin ,lupus anticoagulants, pathophysiology ,epidemiology , complications ","lupus anticoagulants complications anticardiolipin pathophysiology epidemiology lupus coagulation inhibitor beta2 glycoprotein i beta-2-glycoprotein i antibodies, anticardiolipin beta-2-glycoprotein 1, human anti-cardiolipin iga anti-cardiolipin igm beta 2-glycoprotein i measles with complication rubella with complication mumps with complication thyrotoxicosis syndrome, anti-phospholipid anti cardiolipin antibodies syndrome stroke disease complications of rubella antiphospholipid syndrome cerebrovascular accident no result childbirth adverse effect due to surgery aggravated anticardiolipin antibodies negative result family history of antiphospholipid syndrome maternal anticardiolipin antibody positive altered level of consciousness birth of child symptom aggravating factors consciousness, level altered stroke, ctcae intraoperative complication obstetric labor complication postoperative complication pregnancy complication postmastoidectomy complication tracheostomy complication mechanical complication due to intrauterine contraceptive device cardiac complication respiratory complication gastrointestinal complication urinary complication complication of the puerperium complications of the puerperium neurologic complication complication of implant intrauterine device complication functional disorder intraoperative complications obstetric labor complications postoperative complications pregnancy complications neurological complication intra-uterine device complication immunological system physiopathological cause epidemiologic complication aspects etiology aspects anatomy epidemiology, molecular pharmacoepidemiology classical epidemiology social epidemiology community epidemiology psychiatric epidemiology biochemical epidemiology dental epidemiology dietary epidemiology science of anatomy molecular epidemiology study of epidemiology medical surveillance nutritional epidemiology "
reviews on subdurals in elderly,"reviews , subdurals , in elderly ",elderly reviews subdurals population group old age peer elderly (population group review [publication type]
effectiveness of etidronate in treating hypercalcemia of malignancy,"effectiveness,etidronate, treating, hypercalcemia,malignancy ","effectiveness hypercalcemia treating etidronate malignancy impact prevention organizational clinical biological relative cardiac aggravated severity associated with to wounds lymphoid malignant ord prevention aspects cardiac - anatomy qualifier exacerbated severities with intensity wounds - qualifier malignant - descriptor finding counselor teacher cough hypercalcemia, ctcae infantile hypercalcaemia 1+ constipation urinary tract infection hyperglycemia hypoglycemia allergic reaction communicate comorbid condition allergy no evidence of malignant neoplasm suspected malignancy secondary malignancy hx effectiveness (finding experimental finding patient's teacher when immunized cough, ctcae hypercalcemia, infantile symptom aggravating factors constipation, ctcae urinary tract infection, ctcae glucose in blood specimen above reference range hyperglycemia, ctcae hypoglycemia, ctcae allergic reaction, ctcae does communicate co-morbid conditions allergic disposition adverse event associated with secondary malignancy medical history humoural hypercalcaemia of malignancy disorder hypocalciuria hypercalciuric hypercalcemia hypocalciuric hypercalcemia myopathy williams syndrome blue diaper syndrome hypercalcemia due to granulomatous disease hypercalcemia due to hyperthyroidism hypercalcemia due to immobilization pneumonia tuberculosis gallstone, nos paraneoplastic polyneuropathy humoral hypercalcemia of malignancy (disorder recurrent urinary tract infection cholelithiasis cholecystolithiasis cost program use treatment occurrence treated procedures injection cost aspects programs utilization qualifier usage therapeutic aspects occurrence characteristics methods aspects procedure (set of actions injection route of drug administration injection method of administration thiazide rhenium-186 hedp dicalcium etidronate rhenium re-188 etidronate disodium etidronate etidronate, tetrapotassium salt ehdp thiazides malignant neoplasm, primary malignant neoplasm of stomach neoplasms, second primary malignant neoplasm of lung multiple malignancy disseminated malignant neoplasm malignant central nervous system neoplasm hematopoietic neoplasm hematologic neoplasm occult malignancy lymphoid neoplasm localized malignant neoplasm cancer myeloid neoplasm secondary malignant neoplasm malignant neoplasms malignant childhood neoplasm malignant childhood central nervous system neoplasm hematopoietic neoplasms childhood hematopoietic neoplasm hematologic neoplasms "
does estrogen replacement therapy cause breast cancer,"estrogen replacement therapy, breast cancer","breast cancer estrogen replacement therapy malignant neoplasm of breast breast carcinoma childhood breast carcinoma breast carcinoma, female intraductal carcinoma, noninfiltrating stage 0 breast carcinoma malignant neoplasm of female breast carcinoma of male breast malignant neoplasm of male breast carcinoma breast stage i breast cancer stage ii stage iii breast cancer ajcc v6 carcinoma breast stage iv stage iiia breast carcinoma stage iiib breast carcinoma inflammatory breast carcinoma lobular carcinoma in situ of breast breast cancer cellular diagnosis bilateral breast cancer malignant melanoma of skin of breast noninfiltrating intraductal carcinoma stage 0 breast cancer ajcc v6 and v7 stage ii breast cancer ajcc v6 and v7 cellular diagnosis, breast cancer screening for malignant neoplasm of breast breast cancer prevention oestrogen replacement therapy estrogen progestin replacement therapy hrt hormone replacement therapy "
changes seen of head mri after toxic exposure,"changes , head mri  toxic"," toxic changes head mri toxic effect hepatitis, toxic encephalopathy, toxic toxic cataract contrast marking for massive preposition for changing changed inflammatory planning planned toxic potential % abnormal weighted changed status delta (difference percent of abnormal cells mri of head mri angiography of head flair mri of head and neck nuclear magnetic resonance imaging brain mri head mri of brain magnetic resonance imaging of brain magnetic resonance imaging of abdomen magnetic resonance imaging of head magnetic resonance imaging without contrast stereotactic fluid attenuated inversion recovery mri without contrast stereotactic imaging "
work-up of hypertension in patient with horseshoe kidney,"work-up , hypertension,patient,horseshoe kidney","horseshoe kidney patient hypertension work-up renal anomaly congenital anomaly of the kidney *^patient inpatient person, mentally ill outpatient patients mentally ill persons outpatients hypertensive disease secondary hypertension gestational hypertension hypertension+pregnancy diastolic hypertension hypertension, systolic goldblatt hypertension hypertension, malignant portal hypertension hypertension, renal hypertension, renovascular ocular hypertension essential hypertension hypertensive heart disease hypertension, transient hypertension, paroxysmal anemia pregnancy associated hypertension maternal hypertension systolic hypertension hypertension, goldblatt malignant hypertension paroxysmal hypertension transient ischemic attack transient cerebral ischemia lobulated 1+ no result specimen source physical source of information hypertension, ctcae hypertension complications pulmonary hypertension intracranial hypertension raised intraocular pressure finding giving up work fever protocol abnormal stool heme positive follow-up usually complete coordinate lobulated nodule physical assessment findings portal hypertension, ctcae pulmonary hypertension, ctcae raised intraocular pressure (finding experimental finding anemia, ctcae fever symptoms (finding fever, ctcae protocol - answer to question fecal occult blood: positive positive finding follow-up status complete pharyngeal contraction no incoordination ultrasound of kidney comprehensive eye examination pap smear diagnostic echography of kidney papanicolaou test positron-emission tomography diagnosis "
t-cell lyphoma associated with autoimmune sypmtoms,"t-cell lyphoma, associated with ,autoimmune sypmtoms",associated with t-cell lyphoma autoimmune sypmtoms morphology associated organism associated substance neutrophile associated condition associated disease associated observation associated procedure associated etiology associated function associated disorder associated mechanism 
effectiveness of gallium therapy for hypercalcemia,"effectiveness , gallium therapy ,hypercalcemia ","effectiveness hypercalcemia gallium therapy humoural hypercalcaemia of malignancy disorder hypocalciuria hypercalciuric hypercalcemia hypocalciuric hypercalcemia myopathy williams syndrome blue diaper syndrome hypercalcemia due to granulomatous disease hypercalcemia due to hyperthyroidism hypercalcemia due to immobilization humoral hypercalcemia of malignancy (disorder finding counselor teacher cough hypercalcemia, ctcae infantile hypercalcaemia aggravated 1+ no result effectiveness (finding experimental finding patient's teacher when immunized cough, ctcae hypercalcemia, infantile symptom aggravating factors cost program use treatment occurrence cost aspects programs utilization qualifier usage therapeutic aspects treating occurrence characteristics prevention intervention airway placement hypercalcemia therapy electrolyte management therapeutic procedure administration procedure prophylactic treatment interventional procedure airway insertion electrolyte regulation "
